symbol,tx_cnt,deposit_tx_cnt,withdraw_tx_cnt,amount_usd,deposit_amount_usd,withdraw_amount_usd
rETH,89,78,11,837989.6983821823,851190.372147334,13200.673765151674
USDT,7280,4945,2335,4.5243838748235e+07,6.265604421686697e+07,1.7412205468631983e+07
WBTC,522,400,122,7.617493621644344e+06,8.822451809908425e+06,1.2049581882640843e+06
ETH,1.877675e+06,1.600792e+06,276883,2.0002801224032918e+08,1.6205309427048018e+09,1.4205029304644716e+09
DAI,6477,6477,0,5.048248624902716e+06,5.048248624902716e+06,<nil>
USDC,17277,10705,6572,1.1907935151013157e+08,1.7702765208470535e+08,5.794830057457354e+07
