type,tx_cnt,user_cnt,deposit_amount_usd,balance_amount_usd
Starknet,1.90932e+06,1.256949e+06,1.8749365298133805e+09,3.7785493444360346e+08
zkSync(Era+Lite),7.546607e+06,3.217535e+06,1.4691148111480251e+10,2.2963130106004558e+09
